
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
[47] DAY 2010-07-19 : 0.00011708 => (ans,pred) False:False]
[47] DAY 2010-07-20 : 0.00028021 => (ans,pred) False:False]
[47] DAY 2010-07-21 : 0.00034589 => (ans,pred) False:False]
[47] DAY 2010-07-22 : 0.00300442 => (ans,pred) False:False]
[47] DAY 2010-07-23 : 0.00030170 => (ans,pred) False:False]
[47] DAY 2010-07-24 : 0.00025316 => (ans,pred) False:False]
[47] DAY 2010-07-25 : 0.00003123 => (ans,pred) False:False]
[47] DAY 2010-07-26 : 0.00300442 => (ans,pred) False:False]
[47] DAY 2010-07-27 : 0.00025316 => (ans,pred) False:False]
[47] DAY 2010-07-28 : 0.00028021 => (ans,pred) False:False]
[47] DAY 2010-07-29 : 0.00026967 => (ans,pred) False:False]
[47] DAY 2010-07-30 : 0.00021283 => (ans,pred) False:False]
[47] DAY 2010-07-31 : 0.00028021 => (ans,pred) False:False]
[47] DAY 2010-08-01 : 0.00021117 => (ans,pred) False:False]
[47] DAY 2010-08-02 : 0.00037894 => (ans,pred) False:False]
[47] DAY 2010-08-03 : 0.00003123 => (ans,pred) False:False]
[47] DAY 2010-08-04 : 0.00031739 => (ans,pred) False:False]
[47] DAY 2010-08-05 : 0.00017035 => (ans,pred) False:False]
[47] DAY 2010-08-06 : 0.00003123 => (ans,pred) False:False]
[47] DAY 2010-08-07 : 0.00017035 => (ans,pred) False:False]
[47] DAY 2010-08-08 : 0.00021117 => (ans,pred) False:False]
[47] DAY 2010-08-09 : 0.00021283 => (ans,pred) False:False]
[47] DAY 2010-08-10 : 0.00028605 => (ans,pred) False:False]
[47] DAY 2010-08-11 : 0.00159489 => (ans,pred) False:False]
[47] DAY 2010-08-12 : 0.00037894 => (ans,pred) False:False]
[47] DAY 2010-08-13 : 0.00031739 => (ans,pred) False:False]
[47] DAY 2010-08-14 : 0.00025316 => (ans,pred) False:False]
[47] DAY 2010-08-16 : 0.00025316 => (ans,pred) False:False]
[47] DAY 2010-08-17 : 0.00028021 => (ans,pred) False:False]
[47] DAY 2010-08-18 : 0.00037894 => (ans,pred) False:False]
[47] DAY 2010-08-19 : 0.00028021 => (ans,pred) False:False]
[47] DAY 2010-08-20 : 0.00031739 => (ans,pred) False:False]
[47] DAY 2010-08-21 : 0.00027079 => (ans,pred) False:False]
[47] DAY 2010-08-22 : 0.00026967 => (ans,pred) False:False]
[47] DAY 2010-08-23 : 0.00021117 => (ans,pred) False:False]
[47] DAY 2010-08-24 : 0.00030170 => (ans,pred) False:False]
[47] DAY 2010-08-25 : 0.00021283 => (ans,pred) False:False]
[47] DAY 2010-08-26 : 0.00028021 => (ans,pred) False:False]
[47] DAY 2010-08-27 : 0.00037894 => (ans,pred) False:False]
[47] DAY 2010-08-28 : 0.00021283 => (ans,pred) False:False]
[47] DAY 2010-08-30 : 0.00037894 => (ans,pred) False:False]
[47] DAY 2010-08-31 : 0.00021283 => (ans,pred) False:False]
[47] DAY 2010-09-01 : 0.00028021 => (ans,pred) False:False]
[47] DAY 2010-09-02 : 0.00039185 => (ans,pred) False:False]
[47] DAY 2010-09-03 : 0.00021283 => (ans,pred) False:False]
[47] DAY 2010-09-04 : 0.00028021 => (ans,pred) False:False]
[47] DAY 2010-09-05 : 0.00017035 => (ans,pred) False:False]
[47] DAY 2010-09-07 : 0.00028021 => (ans,pred) False:False]
[47] DAY 2010-09-08 : 0.00026967 => (ans,pred) False:False]
[47] DAY 2010-09-09 : 0.00028021 => (ans,pred) False:False]
[47] DAY 2010-09-10 : 0.00043236 => (ans,pred) False:False]
user 47 : TP0, TN0, FP0, OT235 : Acc(0.0) Recall(0.0) DONE
begin user  48
step: 0  loss: 2.21562529
step: 100  loss: 0.10839989
step: 200  loss: 0.00171334
step: 300  loss: 0.00074169
step: 400  loss: 0.00046032
step: 500  loss: 0.00032950
user 48  trained.  loss: 0.00032950
Testing...
[48] DAY 2010-01-04 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-01-05 : 0.00031488 => (ans,pred) False:False]
[48] DAY 2010-01-06 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2010-01-07 : 0.00043724 => (ans,pred) False:False]
[48] DAY 2010-01-08 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2010-01-11 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-01-12 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-01-13 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-01-14 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-01-15 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-01-18 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-01-19 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-01-20 : 0.00039844 => (ans,pred) False:False]
[48] DAY 2010-01-21 : 0.00040807 => (ans,pred) False:False]
[48] DAY 2010-01-22 : 0.00031488 => (ans,pred) False:False]
[48] DAY 2010-01-25 : 0.00031704 => (ans,pred) False:False]
[48] DAY 2010-01-26 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-01-27 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-01-28 : 0.00035537 => (ans,pred) False:False]
[48] DAY 2010-01-29 : 0.00030508 => (ans,pred) False:False]
[48] DAY 2010-02-01 : 0.00024341 => (ans,pred) False:False]
[48] DAY 2010-02-02 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-02-03 : 0.00015647 => (ans,pred) False:False]
[48] DAY 2010-02-04 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-02-05 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-02-08 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-02-09 : 0.00031488 => (ans,pred) False:False]
[48] DAY 2010-02-10 : 0.00040807 => (ans,pred) False:False]
[48] DAY 2010-02-11 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-02-12 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-02-15 : 0.00021349 => (ans,pred) False:False]
[48] DAY 2010-02-16 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2010-02-17 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-02-18 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-02-19 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-02-22 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-02-23 : 0.00026752 => (ans,pred) False:False]
[48] DAY 2010-02-24 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-02-25 : 0.00041379 => (ans,pred) False:False]
[48] DAY 2010-02-26 : 0.00035568 => (ans,pred) False:False]
[48] DAY 2010-03-01 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-03-02 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2010-03-03 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-03-04 : 0.00035568 => (ans,pred) False:False]
[48] DAY 2010-03-05 : 0.00012451 => (ans,pred) False:False]
[48] DAY 2010-03-08 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-03-09 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2010-03-10 : 0.00021349 => (ans,pred) False:False]
[48] DAY 2010-03-11 : 0.00039844 => (ans,pred) False:False]
[48] DAY 2010-03-12 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2010-03-15 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2010-03-16 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-03-17 : 0.00038801 => (ans,pred) False:False]
[48] DAY 2010-03-18 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-03-19 : 0.00031704 => (ans,pred) False:False]
[48] DAY 2010-03-22 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-03-23 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-03-24 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-03-25 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-03-26 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2010-03-29 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2010-03-30 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-03-31 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-04-01 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-04-05 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-04-06 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-04-07 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-04-08 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2010-04-09 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2010-04-12 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-04-13 : 0.00029885 => (ans,pred) False:False]
[48] DAY 2010-04-14 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-04-15 : 0.00030508 => (ans,pred) False:False]
[48] DAY 2010-04-16 : 0.00035568 => (ans,pred) False:False]
[48] DAY 2010-04-19 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-04-20 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2010-04-21 : 0.00031516 => (ans,pred) False:False]
[48] DAY 2010-04-22 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-04-23 : 0.00039839 => (ans,pred) False:False]
[48] DAY 2010-04-26 : 0.00031509 => (ans,pred) False:False]
[48] DAY 2010-04-27 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-04-28 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-04-29 : 0.00045990 => (ans,pred) False:False]
[48] DAY 2010-04-30 : 0.00023683 => (ans,pred) False:False]
[48] DAY 2010-05-03 : 0.00031463 => (ans,pred) False:False]
[48] DAY 2010-05-04 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-05-05 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2010-05-06 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-05-07 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2010-05-10 : 0.00038801 => (ans,pred) False:False]
[48] DAY 2010-05-11 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-05-12 : 0.00028955 => (ans,pred) False:False]
[48] DAY 2010-05-13 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2010-05-14 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2010-05-17 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-05-18 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-05-19 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-05-20 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-05-21 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-05-24 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-05-25 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-05-26 : 0.00010462 => (ans,pred) False:False]
[48] DAY 2010-05-27 : 0.00041067 => (ans,pred) False:False]
[48] DAY 2010-05-28 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-06-01 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2010-06-02 : 0.00028606 => (ans,pred) False:False]
[48] DAY 2010-06-03 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-06-04 : 0.00031516 => (ans,pred) False:False]
[48] DAY 2010-06-07 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-06-08 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-06-09 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2010-06-10 : 0.00023963 => (ans,pred) False:False]
[48] DAY 2010-06-11 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-06-14 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-06-15 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-06-16 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-06-17 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-06-18 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-06-21 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-06-22 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2010-06-23 : 0.00032513 => (ans,pred) False:False]
[48] DAY 2010-06-24 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-06-25 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-06-28 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-06-29 : 0.00610925 => (ans,pred) False:False]
[48] DAY 2010-06-30 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-07-01 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-07-02 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2010-07-06 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2010-07-07 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-07-08 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-07-09 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2010-07-12 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-07-13 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-07-14 : 0.00031463 => (ans,pred) False:False]
[48] DAY 2010-07-15 : 0.00032947 => (ans,pred) False:False]
[48] DAY 2010-07-16 : 0.00035537 => (ans,pred) False:False]
[48] DAY 2010-07-19 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-07-20 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-07-21 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-07-22 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2010-07-23 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-07-26 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-07-27 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-07-28 : 0.00026945 => (ans,pred) False:False]
[48] DAY 2010-07-29 : 0.00028493 => (ans,pred) False:False]
[48] DAY 2010-07-30 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-08-02 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-08-03 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-08-04 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-08-05 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-08-06 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2010-08-09 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-08-10 : 0.00023683 => (ans,pred) False:False]
[48] DAY 2010-08-11 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-08-12 : 0.00032384 => (ans,pred) False:False]
[48] DAY 2010-08-13 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-08-16 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-08-17 : 0.00041067 => (ans,pred) False:False]
[48] DAY 2010-08-18 : 0.00037760 => (ans,pred) False:False]
[48] DAY 2010-08-19 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2010-08-20 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-08-23 : 0.00035568 => (ans,pred) False:False]
[48] DAY 2010-08-24 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-08-25 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-08-26 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-08-27 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-08-30 : 0.00021349 => (ans,pred) False:False]
[48] DAY 2010-08-31 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2010-09-01 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-09-02 : 0.00034359 => (ans,pred) False:False]
[48] DAY 2010-09-03 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2010-09-07 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-09-08 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2010-09-09 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-09-10 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-09-13 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-09-14 : 0.00005058 => (ans,pred) False:False]
[48] DAY 2010-09-15 : 0.00610925 => (ans,pred) False:False]
[48] DAY 2010-09-16 : 0.00021349 => (ans,pred) False:False]
[48] DAY 2010-09-17 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-09-20 : 0.00030626 => (ans,pred) False:False]
[48] DAY 2010-09-21 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2010-09-22 : 0.00021349 => (ans,pred) False:False]
[48] DAY 2010-09-23 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-09-24 : 0.00039844 => (ans,pred) False:False]
[48] DAY 2010-09-27 : 0.00037112 => (ans,pred) False:False]
[48] DAY 2010-09-28 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-09-29 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-09-30 : 0.00026945 => (ans,pred) False:False]
[48] DAY 2010-10-01 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-10-04 : 0.00028606 => (ans,pred) False:False]
[48] DAY 2010-10-05 : 0.00038080 => (ans,pred) False:False]
[48] DAY 2010-10-06 : 0.00033215 => (ans,pred) False:False]
[48] DAY 2010-10-07 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-10-08 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-10-11 : 0.00029885 => (ans,pred) False:False]
[48] DAY 2010-10-12 : 0.00040807 => (ans,pred) False:False]
[48] DAY 2010-10-13 : 0.00031516 => (ans,pred) False:False]
[48] DAY 2010-10-14 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-10-15 : 0.00010442 => (ans,pred) False:False]
[48] DAY 2010-10-18 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-10-19 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-10-20 : 0.00040807 => (ans,pred) False:False]
[48] DAY 2010-10-21 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-10-22 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-10-25 : 0.00026752 => (ans,pred) False:False]
[48] DAY 2010-10-26 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-10-27 : 0.00040807 => (ans,pred) False:False]
[48] DAY 2010-10-28 : 0.00035568 => (ans,pred) False:False]
[48] DAY 2010-10-29 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-11-01 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-11-02 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-11-03 : 0.00034359 => (ans,pred) False:False]
[48] DAY 2010-11-04 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2010-11-05 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-11-08 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-11-09 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-11-10 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-11-11 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-11-12 : 0.00041067 => (ans,pred) False:False]
[48] DAY 2010-11-15 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-11-16 : 0.00022791 => (ans,pred) False:False]
[48] DAY 2010-11-17 : 0.00027347 => (ans,pred) False:False]
[48] DAY 2010-11-18 : 0.00029885 => (ans,pred) False:False]
[48] DAY 2010-11-19 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2010-11-22 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-11-23 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-11-24 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-11-29 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-11-30 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-12-01 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2010-12-02 : 0.00039844 => (ans,pred) False:False]
[48] DAY 2010-12-03 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2010-12-06 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-12-07 : 0.00029885 => (ans,pred) False:False]
[48] DAY 2010-12-08 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-12-09 : 0.00021349 => (ans,pred) False:False]
[48] DAY 2010-12-10 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2010-12-13 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-12-14 : 0.00032668 => (ans,pred) False:False]
[48] DAY 2010-12-15 : 0.00011524 => (ans,pred) False:False]
[48] DAY 2010-12-16 : 0.00011524 => (ans,pred) False:False]
[48] DAY 2010-12-17 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-12-20 : 0.00005058 => (ans,pred) False:False]
[48] DAY 2010-12-21 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2010-12-22 : 0.00014141 => (ans,pred) False:False]
[48] DAY 2010-12-27 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2010-12-28 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2010-12-29 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2010-12-30 : 0.00031704 => (ans,pred) False:False]
[48] DAY 2011-01-03 : 0.00033099 => (ans,pred) False:False]
[48] DAY 2011-01-04 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2011-01-05 : 0.00034359 => (ans,pred) False:False]
[48] DAY 2011-01-06 : 0.00011524 => (ans,pred) False:False]
[48] DAY 2011-01-07 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-01-10 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2011-01-11 : 0.00041446 => (ans,pred) False:False]
[48] DAY 2011-01-12 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2011-01-13 : 0.00028493 => (ans,pred) False:False]
[48] DAY 2011-01-14 : 0.00038801 => (ans,pred) False:False]
[48] DAY 2011-01-17 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-01-18 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-01-19 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2011-01-20 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-01-21 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2011-01-24 : 0.00030677 => (ans,pred) False:False]
[48] DAY 2011-01-25 : 0.00032057 => (ans,pred) False:False]
[48] DAY 2011-01-26 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2011-01-27 : 0.00029885 => (ans,pred) False:False]
[48] DAY 2011-01-28 : 0.00031704 => (ans,pred) False:False]
[48] DAY 2011-01-31 : 0.00034760 => (ans,pred) False:False]
[48] DAY 2011-02-01 : 0.00038143 => (ans,pred) False:False]
[48] DAY 2011-02-02 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2011-02-03 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2011-02-04 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2011-02-07 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-02-08 : 0.00011524 => (ans,pred) False:False]
[48] DAY 2011-02-09 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2011-02-10 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2011-02-11 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-02-14 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2011-02-15 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2011-02-16 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2011-02-17 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2011-02-18 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-02-21 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-02-22 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-02-23 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2011-02-24 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2011-02-25 : 0.00021349 => (ans,pred) False:False]
[48] DAY 2011-02-28 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-03-01 : 0.00038143 => (ans,pred) False:False]
[48] DAY 2011-03-02 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2011-03-03 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2011-03-04 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2011-03-07 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2011-03-08 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-03-09 : 0.00031516 => (ans,pred) False:False]
[48] DAY 2011-03-10 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2011-03-11 : 0.00031509 => (ans,pred) False:False]
[48] DAY 2011-03-14 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-03-15 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2011-03-16 : 0.00035537 => (ans,pred) False:False]
[48] DAY 2011-03-17 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-03-18 : 0.00031509 => (ans,pred) False:False]
[48] DAY 2011-03-21 : 0.00034359 => (ans,pred) False:False]
[48] DAY 2011-03-22 : 0.00014029 => (ans,pred) False:False]
[48] DAY 2011-03-23 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2011-03-24 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2011-03-25 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2011-03-28 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2011-03-29 : 0.00036126 => (ans,pred) False:False]
[48] DAY 2011-03-30 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2011-03-31 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2011-04-01 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2011-04-04 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2011-04-05 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-04-06 : 0.00040807 => (ans,pred) False:False]
[48] DAY 2011-04-07 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2011-04-08 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-04-11 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2011-04-12 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2011-04-13 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2011-04-14 : 0.00032545 => (ans,pred) False:False]
[48] DAY 2011-04-15 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2011-04-18 : 0.00029209 => (ans,pred) False:False]
[48] DAY 2011-04-19 : 0.00041044 => (ans,pred) False:False]
[48] DAY 2011-04-20 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2011-04-21 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-04-25 : 0.00032947 => (ans,pred) False:False]
[48] DAY 2011-04-26 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-04-27 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2011-04-28 : 0.00031196 => (ans,pred) False:False]
[48] DAY 2011-04-29 : 0.00035568 => (ans,pred) False:False]
[48] DAY 2011-05-02 : 0.00034044 => (ans,pred) False:False]
[48] DAY 2011-05-03 : 0.00028025 => (ans,pred) False:False]
[48] DAY 2011-05-04 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2011-05-05 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2011-05-06 : 0.00013079 => (ans,pred) False:False]
[48] DAY 2011-05-09 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2011-05-10 : 0.00038449 => (ans,pred) False:False]
[48] DAY 2011-05-11 : 0.00034044 => (ans,pred) False:False]
